STUDENTID,sessionTotalTimeSeconds,numVisitedQuestions,totalActions,EfficientlyCompletedBlockA,EfficientlyCompletedBlockB,VH356862,VH098810,VH098519,VH098808,VH139047,VH098759,VH098740,VH134366,VH098753,VH134387,VH098783,BlockRev,VH098812,VH139196,VH134373,VH098839,VH098597,VH098556,VH098522,VH098779,VH098834,EOSTimeLft,SecTimeOut,HELPMAT8
2333003971,1345.576,20,381,True,True,20.993,37.92,50.48,80.487,44.913,40.193,60.854,100.7,58.81,43.296,143.6,26.994,78.364,139.2,69.696,93.757,72.596,28.924,41.057,52.787,49.359,10.596,0.0,0.0
2333004276,1808.534,14,504,False,True,10.0,31.917,148.653,51.017,201.127,124.363,38.337,137.34,86.983,178.147,106.29,0.0,179.296,193.444,319.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157,0.0
2333004381,1174.473,20,261,True,False,5.023,26.08,23.22,58.923,170.65,23.337,23.797,316.843,48.997,46.5,82.416,3.406,34.32,39.777,75.967,46.76,27.293,22.927,33.057,22.01,38.233,4.937,0.0,0.0
2333004578,1813.073,15,961,False,True,4.063,24.414,181.98,160.813,436.45,99.97,74.089,368.607,141.417,56.07,55.23,0.0,20.477,69.696,64.23,51.494,0.0,0.0,0.0,0.0,0.0,0.0,4.073,0.0
2333004721,1357.764,20,344,True,False,9.037,33.03,53.668,56.421,273.968,79.476,25.127,140.76,95.25,25.946,22.313,13.73,2.858,55.737,84.133,27.92,74.82,20.53,116.833,36.16,107.227,2.82,0.0,0.0
2333005566,1816.49,20,660,True,True,8.25,15.554,25.66,43.816,168.987,109.587,88.276,178.367,111.074,36.384,211.969,0.21,194.064,68.73,75.643,56.716,106.877,19.6,124.156,103.946,66.837,0.0,1.787,0.0
2333005825,1413.313,20,545,True,False,4.767,8.993,184.297,123.183,63.54,151.177,51.643,171.557,49.837,25.351,28.01,4.062,26.546,122.09,85.074,5.07,16.85,31.266,99.38,115.727,35.043,9.85,0.0,0.0
2333006503,1866.413,20,332,True,True,18.497,22.173,39.951,46.526,255.9,60.412,82.218,170.644,156.342,46.293,115.251,16.579,79.057,174.519,202.19,113.854,52.279,14.967,21.594,15.143,109.057,0.0,52.96,0.007
2333008034,1794.943,20,402,True,True,15.81,40.893,32.14,144.577,100.3,79.23,38.413,115.1,72.73,41.09,448.703,7.904,160.234,148.32,73.453,57.143,32.287,36.853,20.303,68.997,50.6,9.863,0.0,0.0
2333008239,1069.856,20,396,True,True,6.313,17.436,6.432,59.439,136.263,9.567,42.276,108.484,72.73,48.317,101.283,3.829,55.183,88.986,82.364,41.984,34.775,14.252,70.82,57.68,7.383,4.06,0.0,0.0
2333008468,1595.173,20,357,True,True,7.963,10.357,34.19,82.31,113.65,109.99,174.72,62.126,52.08,148.074,33.206,7.641,73.097,109.567,101.086,130.767,60.227,12.213,102.873,67.287,78.643,23.106,0.0,0.0
2333008484,985.413,20,430,True,False,6.58,18.57,82.24,24.816,44.89,142.824,33.239,90.338,24.623,27.046,18.613,7.373,33.049,62.818,79.005,33.511,99.23,17.966,58.05,50.984,25.451,4.197,0.0,0.0
2333008492,1713.047,20,273,True,True,7.727,30.27,32.593,97.347,192.39,149.793,62.667,114.183,79.524,54.39,27.0,9.496,59.31,161.31,266.75,67.69,66.39,34.52,45.086,37.603,105.311,11.697,0.0,0.0
2333008565,1602.19,20,288,True,True,5.873,26.71,69.853,124.134,69.846,137.41,45.337,109.603,126.754,108.913,153.943,12.014,183.18,161.28,63.054,41.026,28.534,40.266,37.283,13.9,37.504,5.773,0.0,0.0
2333008646,1814.457,17,760,False,True,9.923,19.244,83.76,56.076,49.777,101.597,38.826,169.967,135.343,57.99,254.254,0.0,268.396,129.294,206.16,95.203,110.42,24.467,0.0,0.0,0.0,0.0,3.76,0.0
2333008719,1838.357,20,198,True,True,9.683,35.61,37.66,93.07,166.01,149.99,49.884,97.406,167.576,70.204,175.127,0.0,113.423,53.654,85.632,36.067,152.149,54.62,94.616,109.753,69.693,0.0,16.53,0.0
2333008816,1545.23,20,354,True,False,2.966,28.374,98.083,93.743,47.964,167.046,16.444,83.133,65.817,61.516,67.187,2.481,62.683,170.907,261.97,119.203,20.377,16.607,88.197,27.93,33.526,9.076,0.0,0.0
2333008905,1825.12,20,318,True,True,12.177,53.231,176.806,108.943,95.684,119.787,75.463,178.29,112.364,59.293,177.066,6.233,64.441,156.753,36.239,74.711,52.766,30.0,127.085,35.51,52.538,13.563,6.177,0.0
2333009154,1476.89,20,210,True,True,10.986,19.897,54.48,63.86,127.69,103.57,25.26,101.853,89.63,269.444,74.366,10.474,38.214,141.34,20.193,51.147,71.946,80.43,66.1,30.2,18.557,7.253,0.0,0.0
2333009821,1821.377,20,477,True,False,7.877,36.487,51.436,82.181,93.049,151.757,96.22,100.443,59.897,125.951,99.186,0.0,149.333,127.517,115.266,117.457,65.373,21.413,172.076,16.78,126.088,0.0,5.59,0.0
2333010772,1129.66,20,171,True,False,7.33,16.407,113.847,102.99,111.353,125.257,44.256,50.187,148.98,37.253,28.424,7.013,66.743,80.733,15.924,65.914,6.993,5.03,40.547,30.309,16.307,7.863,0.0,0.0
2333011710,1242.6,20,255,True,False,21.593,11.61,66.553,104.94,148.094,72.506,84.184,120.37,44.32,25.73,68.349,8.253,80.336,74.634,132.086,64.0,72.757,2.637,18.395,7.246,4.24,9.767,0.0,0.0
2333012457,1816.607,14,316,False,False,28.75,60.844,99.93,75.033,95.493,360.62,65.674,216.152,229.714,106.793,128.07,0.0,71.323,229.454,38.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.606,6.664
2333013585,1817.94,16,348,False,False,4.11,24.936,61.164,35.494,339.019,240.911,140.593,165.694,109.729,161.929,147.696,0.0,148.683,59.487,127.277,37.673,8.062,0.0,0.0,0.0,0.0,0.0,5.483,0.0
2333013909,1615.14,20,328,True,True,9.724,33.583,231.953,71.2,29.164,198.403,49.823,97.764,50.3,277.563,67.707,4.13,37.14,116.81,60.773,46.33,52.813,38.197,54.33,15.43,70.243,1.76,0.0,0.0
2333014344,1831.7,20,596,True,False,6.88,36.104,42.487,116.919,81.147,149.937,146.52,61.806,123.861,73.646,167.533,2.59,41.273,124.764,461.7,31.43,48.383,14.52,26.073,23.563,41.257,0.0,9.307,0.0
2333014689,1819.813,20,435,True,True,5.23,13.546,48.957,177.463,66.024,43.683,45.723,159.244,66.44,94.25,50.08,5.63,173.336,166.444,355.004,52.898,31.521,40.744,101.416,32.6,69.367,0.0,3.59,16.623
2333014948,1765.917,20,262,True,True,12.673,45.457,44.243,345.52,209.984,39.25,45.72,77.806,140.894,99.116,136.257,9.064,82.95,108.757,104.94,36.186,33.964,28.53,44.167,76.223,34.533,9.683,0.0,0.0
2333015006,1558.837,20,268,True,True,11.897,12.407,43.63,63.803,69.479,101.714,67.734,68.423,116.65,61.323,67.69,6.343,84.747,242.843,102.776,105.003,56.915,20.406,133.314,13.714,74.023,7.383,0.0,26.62
2333015707,1814.68,12,179,False,True,24.217,58.943,110.765,145.042,321.283,65.504,87.48,198.645,352.042,157.64,201.546,0.0,87.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266,0.0
2333015880,1461.214,20,470,True,True,2.287,25.807,121.087,87.77,53.926,40.46,45.7,176.773,61.837,37.617,73.803,5.171,68.107,87.48,187.4,34.313,114.2,48.54,39.02,51.473,95.84,2.603,0.0,0.0
2333016134,1736.307,20,310,True,True,9.23,43.651,60.553,74.394,97.089,136.371,110.858,113.325,48.244,46.562,88.424,4.05,77.896,110.991,12.179,171.259,43.025,47.96,382.045,37.425,13.193,7.583,0.0,0.0
2333016541,1816.45,15,179,False,True,16.206,21.234,49.026,81.937,276.387,192.026,29.15,104.16,113.674,131.77,67.35,0.0,88.613,93.364,318.943,226.616,0.0,0.0,0.0,0.0,0.0,0.0,5.994,0.0
2333016797,1824.497,20,477,True,False,10.1,55.681,38.725,134.767,106.39,132.412,62.527,598.016,74.022,33.885,115.62,22.129,79.826,63.02,93.506,39.121,29.22,39.963,31.71,24.871,24.919,10.437,3.63,0.0
2333017157,1721.55,20,204,True,False,10.624,14.796,40.11,38.047,50.147,92.14,106.006,117.214,302.876,159.427,63.317,9.077,46.393,55.73,247.724,105.399,44.24,27.834,102.79,32.313,49.67,5.676,0.0,0.0
2333017327,1247.363,20,289,True,True,10.72,21.91,170.986,37.054,144.763,31.91,63.653,161.174,51.446,85.384,21.34,12.196,55.855,86.845,61.95,28.243,54.723,24.25,51.497,28.904,26.846,15.714,0.0,0.0
2333017424,1715.974,20,324,True,True,13.557,76.96,53.53,131.653,48.397,120.087,62.21,151.11,76.476,204.997,112.443,8.694,45.454,144.99,119.443,72.05,68.517,27.47,78.793,39.783,54.43,4.93,0.0,0.0
2333017483,1770.72,20,307,True,True,18.573,77.847,129.253,168.574,140.866,42.157,46.563,199.344,76.996,136.957,49.28,31.455,66.513,84.357,80.733,64.417,35.833,48.234,165.714,46.783,44.18,16.091,0.0,0.0
2333017831,1494.52,20,223,True,False,6.6,73.693,116.987,97.21,118.797,55.856,28.583,124.981,26.556,58.991,40.226,390.667,57.613,59.737,18.677,25.58,84.293,9.22,61.763,9.554,23.516,5.42,0.0,0.0
2333018331,1186.644,20,210,True,False,9.737,22.897,51.31,78.103,63.837,87.233,14.66,121.563,75.944,82.2,55.08,12.893,110.77,91.216,23.087,56.76,18.4,30.85,108.254,20.553,39.07,12.227,0.0,0.0
2333018676,1816.16,20,287,True,False,14.96,23.307,37.673,86.397,209.99,50.617,57.88,301.973,45.09,36.323,169.887,0.0,88.49,160.667,67.973,128.317,140.666,11.487,23.563,34.327,122.92,0.0,3.653,0.0
2333019036,1720.74,20,268,True,True,9.314,18.683,33.977,35.62,101.99,141.413,44.323,81.094,244.886,39.26,189.014,6.3,71.053,55.07,164.173,153.471,65.01,25.407,143.06,14.936,35.407,8.983,0.0,38.296
2333019711,1829.03,20,482,True,False,16.86,36.94,135.392,95.466,67.95,74.447,25.779,91.897,159.756,18.533,129.367,0.0,171.737,125.27,98.66,62.507,231.673,53.734,100.933,55.236,62.499,0.0,5.364,9.03
2333019788,1059.533,20,345,True,False,5.286,23.01,12.334,71.233,225.839,119.888,55.46,123.49,144.853,84.163,30.704,3.341,13.976,35.013,30.543,43.67,3.334,2.313,7.306,3.67,11.547,8.56,0.0,0.0
2333020280,1318.58,20,186,True,True,5.81,28.313,51.327,63.596,240.877,103.023,28.934,128.68,128.48,23.37,84.866,22.11,54.507,51.79,19.227,71.063,32.737,37.583,26.577,19.597,90.593,5.52,0.0,0.0
2333020476,1337.657,20,255,True,True,7.247,14.077,53.27,70.766,83.594,83.793,31.077,110.67,60.71,153.97,34.92,8.81,43.056,102.03,160.564,79.85,25.79,20.686,64.744,59.894,63.516,4.623,0.0,0.0
2333020905,1274.043,20,202,True,True,8.627,44.255,174.878,61.004,70.131,136.423,70.62,81.187,68.997,59.82,55.11,6.357,49.047,43.029,116.746,21.948,41.229,21.737,45.384,39.831,54.329,3.354,0.0,0.0
2333021014,1817.32,19,471,False,True,15.167,61.393,81.643,155.89,462.957,29.973,5.167,100.403,159.68,52.224,180.33,0.0,76.633,44.143,175.85,136.1,42.197,12.67,0.0,7.41,10.773,0.0,6.717,0.0
2333021235,1784.05,20,307,True,True,4.65,21.467,185.632,73.106,166.218,67.273,43.771,177.219,331.977,20.997,59.373,10.861,51.697,92.922,105.724,82.523,72.268,28.878,53.915,50.008,74.385,9.186,0.0,0.0
2333021260,1674.667,20,253,True,True,11.177,50.76,69.3,52.973,76.597,206.62,42.02,132.243,93.027,97.01,50.546,8.99,46.49,216.114,142.483,142.48,37.137,30.556,54.35,16.517,90.26,7.017,0.0,0.0
2333021316,1393.554,20,255,True,False,10.364,25.593,51.137,34.99,196.716,96.927,45.577,163.18,122.4,72.15,50.06,7.307,62.263,83.74,57.903,75.1,64.544,25.316,45.763,16.614,79.25,6.66,0.0,0.0
2333021413,1325.82,20,243,True,False,8.016,14.39,48.484,60.58,154.356,146.994,99.306,98.957,68.877,135.326,65.597,10.866,53.62,91.507,125.823,31.857,16.713,14.227,22.19,31.516,17.124,9.494,0.0,0.0
2333021766,725.08,20,179,True,False,10.11,14.49,32.374,13.86,14.886,94.63,23.384,88.106,24.32,27.244,30.01,5.066,47.596,56.064,27.416,52.51,27.637,25.667,51.374,18.663,30.653,9.02,0.0,0.0
2333021928,1717.223,20,386,True,True,16.306,36.108,70.186,56.653,128.007,206.343,42.83,247.274,190.582,84.024,25.203,9.183,14.043,73.727,318.329,52.61,32.61,13.504,2.717,61.446,2.907,9.07,0.0,23.561
2333022088,1660.147,20,416,True,True,5.013,14.464,51.916,70.644,92.8,213.733,35.85,147.083,99.034,77.843,37.57,8.111,103.217,245.043,122.41,59.09,66.403,22.387,124.05,27.73,31.373,4.383,0.0,0.0
2333022100,1464.944,20,343,True,True,4.324,31.106,113.279,39.017,111.353,194.559,60.468,162.94,57.13,55.207,71.283,36.81,66.277,64.153,60.259,80.93,60.45,21.283,69.295,38.688,54.826,11.307,0.0,0.0
2333023378,1777.923,20,451,True,True,16.76,24.427,134.977,67.45,95.279,86.677,29.72,147.05,103.99,46.433,65.264,8.682,181.003,332.917,254.316,44.09,17.001,11.98,37.168,20.862,47.267,4.61,0.0,0.0
2333023548,1815.613,20,637,True,False,8.31,15.677,50.74,104.5,247.16,206.85,30.903,109.997,23.5,30.513,121.617,0.2,45.21,84.24,179.626,43.21,46.197,8.433,280.477,19.024,156.856,0.0,2.373,0.0
2333023769,1321.594,20,335,True,True,11.49,17.69,30.4,44.984,60.24,99.273,43.36,91.423,68.397,128.683,52.524,5.204,52.923,79.263,157.017,49.79,37.087,54.703,53.267,66.03,108.16,9.686,0.0,0.0
2333023955,1481.944,20,587,True,True,6.634,15.743,70.067,115.25,70.293,79.81,67.103,149.207,191.663,41.16,77.517,6.797,123.849,105.691,62.09,56.867,88.066,22.607,45.39,30.057,52.05,4.033,0.0,0.0
2333024218,1819.854,20,503,True,True,4.214,17.003,37.687,102.51,234.996,96.304,54.386,359.664,33.828,87.1,160.853,0.0,29.313,170.629,90.491,44.703,74.03,10.38,149.957,11.123,47.86,0.0,2.823,0.0
2333024498,1742.594,20,400,True,False,10.717,12.267,78.21,94.523,387.257,90.82,44.513,104.147,92.126,46.544,98.223,20.564,53.1,127.347,99.486,47.07,29.264,25.506,181.054,77.184,19.726,2.946,0.0,0.0
2333024901,1795.233,20,781,True,True,11.083,41.487,222.72,113.283,90.484,124.346,59.867,175.524,84.717,147.429,89.366,25.686,49.744,79.226,110.774,77.85,44.153,75.45,107.61,29.3,14.447,14.797,0.0,5.89
2333024994,1501.11,20,384,True,True,4.293,50.07,82.14,28.797,112.37,86.79,75.693,101.063,117.44,68.774,107.336,3.104,40.377,116.873,150.24,66.274,36.566,75.264,26.85,92.97,55.426,2.4,0.0,0.0
2333025761,1785.12,20,352,True,True,5.957,16.7,149.356,69.009,111.001,38.957,51.767,184.033,72.293,91.183,72.271,4.377,133.721,312.406,142.946,109.914,30.669,30.49,76.077,46.557,33.493,1.943,0.0,0.0
2333026181,1131.313,20,495,True,False,5.386,16.177,33.906,46.793,57.731,60.693,126.946,73.38,48.878,66.799,103.494,3.107,90.606,91.543,63.713,51.088,52.38,23.27,50.589,24.066,34.601,6.167,0.0,0.0
2333026440,1815.353,14,811,False,True,12.157,24.489,126.213,357.317,69.441,58.656,32.397,187.614,246.635,143.654,345.4,0.0,54.144,41.862,107.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64,0.0
2333026512,974.91,20,322,True,False,7.53,30.08,32.928,58.988,49.533,81.214,44.17,101.403,60.274,84.623,27.027,3.013,40.762,67.914,56.654,97.729,30.897,11.594,17.144,13.139,53.02,5.274,0.0,0.0
2333026695,1289.937,20,187,True,False,13.26,16.423,45.927,105.42,138.747,97.39,42.01,83.56,46.553,28.486,179.594,2.771,58.266,72.33,117.777,42.427,55.933,43.397,24.39,37.65,36.296,1.33,0.0,0.0
2333027047,1128.473,20,164,True,False,9.03,18.42,74.15,60.277,251.996,36.577,24.197,117.386,23.96,27.694,84.74,11.1,25.203,69.113,53.74,36.167,55.807,25.783,38.476,12.577,65.04,7.04,0.0,0.0
2333027632,835.993,20,215,True,False,5.23,16.56,38.203,42.443,79.547,71.31,37.593,66.92,43.317,55.19,65.18,3.417,42.57,33.577,41.336,92.094,27.3,9.006,9.887,9.65,41.61,4.053,0.0,0.0
2333028558,1816.407,20,232,True,False,6.387,14.69,116.186,181.524,117.696,142.747,45.54,90.647,130.453,0.197,116.77,0.0,0.18,207.14,110.472,134.262,202.819,36.447,48.083,30.273,80.734,0.0,3.16,0.0
2333028655,1664.874,20,177,True,True,14.674,15.947,38.302,76.121,49.706,79.244,85.653,576.727,32.81,29.503,28.53,7.093,129.24,136.276,152.783,43.637,11.711,36.257,15.17,30.773,65.617,9.1,0.0,0.0
2333028752,1479.51,20,226,True,True,14.206,14.6,118.337,38.613,49.21,69.97,50.934,198.41,154.706,72.834,53.736,12.773,72.98,83.63,79.597,60.18,28.927,109.69,45.584,38.806,99.05,12.737,0.0,0.0
2333028841,1815.886,16,281,False,False,7.27,62.5,60.006,45.584,248.976,150.28,30.027,322.997,209.37,143.896,135.017,0.0,47.87,100.287,129.68,108.18,8.473,0.0,0.0,0.0,0.0,0.0,5.473,0.0
2333028931,1819.877,11,828,False,False,10.603,33.99,200.987,507.273,232.927,107.317,56.166,166.044,126.676,116.034,252.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.394,0.0
2333029261,1827.503,15,377,False,True,1.88,67.666,221.304,45.856,337.204,80.34,52.89,96.003,73.993,32.627,136.067,0.0,181.916,228.156,149.484,104.724,0.0,0.0,0.0,0.0,0.0,0.0,17.393,0.0
2333029341,1817.003,19,220,False,False,4.09,23.359,183.361,51.666,308.034,361.553,147.203,258.507,80.964,39.656,93.587,0.0,47.284,55.006,68.89,31.186,17.784,14.982,0.0,9.467,16.201,0.0,4.223,0.0
2333029350,1817.644,17,261,False,False,6.044,58.583,173.84,55.83,149.533,132.554,33.827,143.657,81.189,44.66,201.987,0.0,190.06,153.67,167.857,70.023,61.953,86.574,0.0,0.0,0.0,0.0,5.803,0.0
2333029759,1540.567,20,277,True,True,20.43,72.019,88.687,102.655,255.372,203.324,102.125,128.738,7.596,40.107,88.42,4.456,47.03,97.321,90.802,41.274,27.49,12.933,50.304,22.537,30.307,6.64,0.0,0.0
2333029953,1848.223,16,266,False,False,18.933,57.23,142.75,133.207,262.013,77.923,121.76,241.31,51.82,95.134,163.039,0.0,161.844,96.643,74.564,90.683,20.59,0.0,0.0,0.0,0.0,0.0,38.78,0.0
2333031389,1814.303,14,375,False,True,9.2,16.38,65.103,259.103,389.417,241.97,17.77,303.183,106.824,51.57,165.22,0.0,61.776,85.657,35.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.696,0.0
2333031630,1579.763,20,360,True,True,4.13,20.637,42.74,11.313,45.967,52.356,47.447,81.336,81.704,53.763,463.944,5.013,54.0,119.763,167.377,49.51,36.013,49.52,95.51,24.81,67.673,5.237,0.0,0.0
2333031729,1822.033,14,306,False,False,9.657,52.14,88.826,125.93,167.51,185.264,56.69,422.0,137.82,126.15,77.546,0.0,81.014,220.78,58.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26,0.0
2333032644,1678.97,20,511,True,True,4.346,25.464,227.133,49.397,158.8,268.06,34.586,73.924,175.943,41.727,34.39,6.187,62.42,117.36,127.336,48.867,54.133,41.307,72.12,33.914,14.09,7.466,0.0,0.0
2333032911,1831.123,20,349,True,True,32.437,78.706,62.646,180.953,218.811,42.562,55.244,94.943,23.004,74.549,166.298,21.817,98.876,174.212,224.366,66.086,30.2,13.427,48.047,22.027,86.216,13.136,2.56,0.0
2333032997,1759.713,20,359,True,False,4.3,20.323,43.257,395.493,106.063,121.25,12.317,333.547,151.393,31.171,127.447,3.622,51.663,62.596,155.774,34.4,38.02,19.78,20.45,20.454,3.919,2.474,0.0,0.0
2333033276,1357.983,20,238,True,False,20.136,36.406,65.271,56.497,397.476,42.807,51.144,96.186,33.953,91.957,38.507,21.447,69.288,104.19,45.318,30.812,7.636,42.431,25.477,29.137,41.283,10.624,0.0,0.0
2333033420,1720.346,20,433,True,False,5.023,16.393,41.584,103.233,165.057,290.06,36.78,257.306,115.69,23.7,60.37,6.369,33.734,120.173,55.937,86.853,36.761,101.416,100.584,26.04,32.196,5.087,0.0,0.0
2333033519,1717.466,20,237,True,True,13.096,14.407,48.513,58.304,284.006,222.98,78.32,82.774,72.456,72.064,103.62,11.426,67.033,195.3,134.943,52.37,37.764,15.613,66.177,17.17,67.26,1.87,0.0,0.0
2333033675,1818.93,20,243,True,True,10.783,31.994,28.53,91.2,137.69,257.01,66.92,128.226,178.978,188.292,90.06,0.0,113.157,114.409,123.274,51.237,26.647,30.603,31.57,32.967,81.383,0.0,4.0,0.0
2333033861,1807.217,20,408,True,True,6.237,18.902,51.884,145.314,88.323,59.066,65.287,213.957,119.627,77.086,182.438,4.39,179.525,254.254,94.343,70.68,42.187,23.796,32.737,27.434,46.74,3.01,0.0,0.0
2333034027,978.456,20,410,True,False,12.35,26.806,147.594,5.24,368.93,12.09,106.873,178.377,29.896,33.614,4.253,2.457,4.127,12.256,5.387,2.92,3.577,3.45,3.04,11.453,2.323,1.443,0.0,0.0
2333034116,868.856,20,175,True,True,7.366,15.27,55.344,56.046,51.727,83.327,74.473,58.827,45.64,14.0,38.39,3.233,88.066,22.854,35.95,40.4,31.846,17.694,49.073,16.943,53.837,8.55,0.0,0.0
2333034361,1817.926,14,559,False,True,15.47,41.94,76.463,161.917,700.443,85.183,41.41,216.39,81.014,23.79,100.723,0.0,63.773,70.627,129.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.343,0.0
2333034523,1780.477,20,895,True,False,4.157,20.4,13.796,23.304,88.154,87.242,123.277,286.42,61.357,54.033,122.653,13.27,48.08,225.044,71.773,20.797,113.519,88.967,203.387,13.95,91.187,5.71,0.0,0.0
2333034817,1285.917,16,313,False,False,8.267,19.65,140.833,41.697,273.05,88.516,19.26,121.614,153.49,35.78,69.74,11.343,51.1,84.183,113.583,42.43,0.197,0.0,0.0,0.0,0.0,11.184,0.0,0.0
2333034965,1810.53,11,791,False,False,21.433,35.147,115.116,250.664,98.103,150.633,50.134,378.733,307.613,102.237,295.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.223,0.0
2333035058,1718.18,20,266,True,False,8.616,22.164,58.906,78.267,367.457,233.36,27.397,85.792,89.164,22.503,29.47,9.741,107.427,230.667,71.09,51.787,43.519,42.207,42.474,48.749,45.21,2.213,0.0,0.0
2333035309,1688.12,20,555,True,True,15.067,40.873,98.663,80.65,229.02,58.69,59.164,198.983,37.573,34.627,117.827,4.81,88.096,315.8,50.314,59.766,37.574,3.736,28.41,20.817,103.63,4.03,0.0,0.0
2333035635,1816.15,12,384,False,True,14.684,22.771,172.91,246.53,298.713,231.634,145.53,134.436,330.739,33.65,144.823,0.0,34.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0
2333036071,1676.63,20,493,True,True,8.416,13.92,41.22,57.37,57.117,78.92,211.853,242.19,257.387,62.24,68.98,6.288,52.77,37.38,168.01,70.287,25.51,33.23,95.17,9.396,63.81,5.856,0.0,9.31
2333036224,1374.34,20,430,True,True,3.32,33.02,99.104,27.083,76.647,128.81,42.14,280.766,87.667,64.323,98.497,7.569,54.52,76.967,78.886,66.424,42.52,23.743,17.093,13.883,43.224,8.134,0.0,0.0
